id;player;time;empty_cells;round
16;MCTS_2000;1,832767;38;3
16;H_ALFA_BETA_3;0,046684;37;3
16;MCTS_2000;1,839734;36;4
16;H_ALFA_BETA_3;0,023486;35;4
16;MCTS_2000;1,558177;34;5
16;H_ALFA_BETA_3;0,029702;33;5
16;MCTS_2000;1,509961;32;6
16;H_ALFA_BETA_3;0,039305;31;6
16;MCTS_2000;0,751005;30;7
16;H_ALFA_BETA_3;0,030257;29;7
16;MCTS_2000;0,405177;28;8
17;MCTS_2000;1,975055;42;1
17;H_ALFA_BETA_3;0,027974;41;1
17;MCTS_2000;2,101812;40;2
17;H_ALFA_BETA_3;0,027265;39;2
17;MCTS_2000;1,51846;38;3
17;H_ALFA_BETA_3;0,030023;37;3
17;MCTS_2000;1,874175;36;4
17;H_ALFA_BETA_3;0,038509;35;4
17;MCTS_2000;1,578959;34;5
17;H_ALFA_BETA_3;0,035743;33;5
17;MCTS_2000;1,337615;32;6
17;H_ALFA_BETA_3;0,051539;31;6
17;MCTS_2000;1,151253;30;7
17;H_ALFA_BETA_3;0,043309;29;7
17;MCTS_2000;0,919015;28;8
17;H_ALFA_BETA_3;0,029272;27;8
17;MCTS_2000;0,926318;26;9
17;H_ALFA_BETA_3;0,037494;25;9
17;MCTS_2000;0,69355;24;10
17;H_ALFA_BETA_3;0,019684;23;10
17;MCTS_2000;0,563633;22;11
17;H_ALFA_BETA_3;0,01283;21;11
17;MCTS_2000;0,371614;20;12
17;H_ALFA_BETA_3;0,007278;19;12
17;MCTS_2000;0,329972;18;13
17;H_ALFA_BETA_3;0,005854;17;13
17;MCTS_2000;0,231751;16;14
17;H_ALFA_BETA_3;0,005905;15;14
17;MCTS_2000;0,227172;14;15
18;MCTS_2000;2,069778;42;1
18;H_ALFA_BETA_3;0,027751;41;1
18;MCTS_2000;1,93732;40;2
18;H_ALFA_BETA_3;0,02771;39;2
18;MCTS_2000;1,627206;38;3
18;H_ALFA_BETA_3;0,0318;37;3
18;MCTS_2000;1,892745;36;4
18;H_ALFA_BETA_3;0,040166;35;4
18;MCTS_2000;1,635832;34;5
18;H_ALFA_BETA_3;0,036164;33;5
18;MCTS_2000;1,364649;32;6
18;H_ALFA_BETA_3;0,04094;31;6
18;MCTS_2000;1,372705;30;7
18;H_ALFA_BETA_3;0,039333;29;7
18;MCTS_2000;1,213963;28;8
18;H_ALFA_BETA_3;0,041643;27;8
18;MCTS_2000;1,127773;26;9
18;H_ALFA_BETA_3;0,03511;25;9
18;MCTS_2000;1,106057;24;10
18;H_ALFA_BETA_3;0,037703;23;10
18;MCTS_2000;0,916396;22;11
18;H_ALFA_BETA_3;0,027897;21;11
18;MCTS_2000;0,809135;20;12
18;H_ALFA_BETA_3;0,009752;19;12
18;MCTS_2000;0,485146;18;13
18;H_ALFA_BETA_3;0,00288;17;13
18;MCTS_2000;0,409145;16;14
18;H_ALFA_BETA_3;0,009405;15;14
18;MCTS_2000;0,273385;14;15
18;H_ALFA_BETA_3;0,004737;13;15
18;MCTS_2000;0,253179;12;16
18;H_ALFA_BETA_3;0,004767;11;16
18;MCTS_2000;0,145882;10;17
18;H_ALFA_BETA_3;0,001301;9;17
18;MCTS_2000;0,074822;8;18
18;H_ALFA_BETA_3;0,001343;7;18
19;MCTS_2000;1,995941;42;1
19;H_ALFA_BETA_3;0,029421;41;1
19;MCTS_2000;1,934688;40;2
19;H_ALFA_BETA_3;0,034999;39;2
19;MCTS_2000;2,097892;38;3
19;H_ALFA_BETA_3;0,033138;37;3
19;MCTS_2000;1,635574;36;4
19;H_ALFA_BETA_3;0,021558;35;4
19;MCTS_2000;1,849506;34;5
19;H_ALFA_BETA_3;0,017808;33;5
19;MCTS_2000;1,869962;32;6
19;H_ALFA_BETA_3;0,01299;31;6
19;MCTS_2000;1,717216;30;7
19;H_ALFA_BETA_3;0,017836;29;7
19;MCTS_2000;1,917782;28;8
19;H_ALFA_BETA_3;0,045174;27;8
19;MCTS_2000;1,352548;26;9
19;H_ALFA_BETA_3;0,04488;25;9
19;MCTS_2000;1,04857;24;10
19;H_ALFA_BETA_3;0,047993;23;10
19;MCTS_2000;0,359533;22;11
20;MCTS_2000;1,91197;42;1
20;H_ALFA_BETA_3;0,028012;41;1
20;MCTS_2000;2,055693;40;2
20;H_ALFA_BETA_3;0,025729;39;2
20;MCTS_2000;1,673999;38;3
20;H_ALFA_BETA_3;0,041163;37;3
20;MCTS_2000;1,745077;36;4
20;H_ALFA_BETA_3;0,023008;35;4
20;MCTS_2000;1,442411;34;5
20;H_ALFA_BETA_3;0,038523;33;5
20;MCTS_2000;1,200692;32;6
20;H_ALFA_BETA_3;0,023407;31;6
20;MCTS_2000;1,258363;30;7
20;H_ALFA_BETA_3;0,035227;29;7
20;MCTS_2000;1,107659;28;8
20;H_ALFA_BETA_3;0,049207;27;8
20;MCTS_2000;0,859555;26;9
20;H_ALFA_BETA_3;0,034946;25;9
20;MCTS_2000;0,693273;24;10
20;H_ALFA_BETA_3;0,025719;23;10
20;MCTS_2000;0,643661;22;11
20;H_ALFA_BETA_3;0,012349;21;11
20;MCTS_2000;0,561121;20;12
20;H_ALFA_BETA_3;0,016851;19;12
20;MCTS_2000;0,374012;18;13
20;H_ALFA_BETA_3;0,009156;17;13
20;MCTS_2000;0,255163;16;14
20;H_ALFA_BETA_3;0,006904;15;14
20;MCTS_2000;0,180444;14;15
20;H_ALFA_BETA_3;0,00341;13;15
21;H_ALFA_BETA_3;0,031181;42;1
21;MCTS_5000;4,646489;41;1
21;H_ALFA_BETA_3;0,02518;40;2
21;MCTS_5000;4,445052;39;2
21;H_ALFA_BETA_3;0,038734;38;3
21;MCTS_5000;5,138862;37;3
21;H_ALFA_BETA_3;0,038819;36;4
21;MCTS_5000;4,797207;35;4
21;H_ALFA_BETA_3;0,03168;34;5
21;MCTS_5000;3,996383;33;5
21;H_ALFA_BETA_3;0,023583;32;6
21;MCTS_5000;3,794245;31;6
21;H_ALFA_BETA_3;0,02847;30;7
21;MCTS_5000;3,67428;29;7
21;H_ALFA_BETA_3;0,025968;28;8
21;MCTS_5000;3,023449;27;8
21;H_ALFA_BETA_3;0,019336;26;9
21;MCTS_5000;2,620576;25;9
21;H_ALFA_BETA_3;0,005218;24;10
21;MCTS_5000;2,596185;23;10
21;H_ALFA_BETA_3;0,021492;22;11
21;MCTS_5000;1,915684;21;11
21;H_ALFA_BETA_3;0,016057;20;12
21;MCTS_5000;1,162859;19;12
21;H_ALFA_BETA_3;0,009896;18;13
21;MCTS_5000;0,710973;17;13
21;H_ALFA_BETA_3;0,007526;16;14
21;MCTS_5000;0,548007;15;14
21;H_ALFA_BETA_3;0,003881;14;15
21;MCTS_5000;0,258273;13;15
21;H_ALFA_BETA_3;0,001561;12;16
21;MCTS_5000;0,23158;11;16
22;H_ALFA_BETA_3;0,031297;42;1
22;MCTS_5000;4,474663;41;1
22;H_ALFA_BETA_3;0,025669;40;2
22;MCTS_5000;4,236971;39;2
22;H_ALFA_BETA_3;0,031963;38;3
22;MCTS_5000;4,303539;37;3
22;H_ALFA_BETA_3;0,040388;36;4
22;MCTS_5000;3,575826;35;4
22;H_ALFA_BETA_3;0,039825;34;5
22;MCTS_5000;3,072522;33;5
22;H_ALFA_BETA_3;0,038855;32;6
22;MCTS_5000;2,886618;31;6
22;H_ALFA_BETA_3;0,046591;30;7
22;MCTS_5000;2,371254;29;7
22;H_ALFA_BETA_3;0,037579;28;8
22;MCTS_5000;2,091476;27;8
22;H_ALFA_BETA_3;0,050021;26;9
22;MCTS_5000;1,291522;25;9
22;H_ALFA_BETA_3;0,043278;24;10
22;MCTS_5000;0,851808;23;10
22;H_ALFA_BETA_3;0,02547;22;11
22;MCTS_5000;0,78145;21;11
22;H_ALFA_BETA_3;0,022246;20;12
22;MCTS_5000;0,770215;19;12
22;H_ALFA_BETA_3;0,020075;18;13
22;MCTS_5000;0,677504;17;13
22;H_ALFA_BETA_3;0,019916;16;14
22;MCTS_5000;0,479633;15;14
22;H_ALFA_BETA_3;0,01073;14;15
22;MCTS_5000;0,346203;13;15
23;H_ALFA_BETA_3;0,035521;42;1
23;MCTS_5000;4,67016;41;1
23;H_ALFA_BETA_3;0,025614;40;2
23;MCTS_5000;4,376413;39;2
23;H_ALFA_BETA_3;0,03475;38;3
23;MCTS_5000;4,757922;37;3
23;H_ALFA_BETA_3;0,042094;36;4
23;MCTS_5000;3,64833;35;4
23;H_ALFA_BETA_3;0,049044;34;5
23;MCTS_5000;3,497715;33;5
23;H_ALFA_BETA_3;0,057031;32;6
23;MCTS_5000;3,789133;31;6
23;H_ALFA_BETA_3;0,022528;30;7
23;MCTS_5000;3,213626;29;7
23;H_ALFA_BETA_3;0,029599;28;8
23;MCTS_5000;2,640268;27;8
23;H_ALFA_BETA_3;0,01925;26;9
23;MCTS_5000;2,470268;25;9
23;H_ALFA_BETA_3;0,017866;24;10
23;MCTS_5000;2,543886;23;10
23;H_ALFA_BETA_3;0,026133;22;11
23;MCTS_5000;1,952127;21;11
23;H_ALFA_BETA_3;0,020897;20;12
23;MCTS_5000;1,393487;19;12
23;H_ALFA_BETA_3;0,013416;18;13
23;MCTS_5000;0,646933;17;13
23;H_ALFA_BETA_3;0,006688;16;14
23;MCTS_5000;0,444765;15;14
23;H_ALFA_BETA_3;0,008551;14;15
23;MCTS_5000;0,319983;13;15
23;H_ALFA_BETA_3;0,00424;12;16
23;MCTS_5000;0,260895;11;16
23;H_ALFA_BETA_3;0,001743;10;17
23;MCTS_5000;0,232555;9;17
23;H_ALFA_BETA_3;0,000841;8;18
24;H_ALFA_BETA_3;0,032123;42;1
24;MCTS_5000;4,753751;41;1
24;H_ALFA_BETA_3;0,025497;40;2
24;MCTS_5000;4,419004;39;2
24;H_ALFA_BETA_3;0,032049;38;3
24;MCTS_5000;4,782058;37;3
24;H_ALFA_BETA_3;0,038936;36;4
